"Date","State","Sector","Mode","Installed Capacity"
"20-07-2019","Karnataka","CENTRAL SECTOR","RES","0"
"20-07-2019","Kerala","STATE SECTOR","Thermal","159.96"
"20-07-2019","Kerala","STATE SECTOR","Nuclear","0"
"20-07-2019","Kerala","STATE SECTOR","Hydro","1856.5"
"20-07-2019","Kerala","STATE SECTOR","RES","172.896"
"20-07-2019","Kerala","PVT SECTOR","Thermal","174"
"20-07-2019","Kerala","PVT SECTOR","Nuclear","0"
"20-07-2019","Kerala","PVT SECTOR","Hydro","0"
"20-07-2019","Kerala","PVT SECTOR","RES","192.854"
"20-07-2019","Kerala","CENTRAL SECTOR","Thermal","359.58"
"20-07-2019","Kerala","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Kerala","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Kerala","CENTRAL SECTOR","RES","50"
"20-07-2019","Lakshadweep","STATE SECTOR","Thermal","0"
"20-07-2019","Lakshadweep","STATE SECTOR","Nuclear","0"
"20-07-2019","Lakshadweep","STATE SECTOR","Hydro","0"
"20-07-2019","Lakshadweep","STATE SECTOR","RES","0"
"20-07-2019","Lakshadweep","PVT SECTOR","Thermal","0"
"20-07-2019","Lakshadweep","PVT SECTOR","Nuclear","0"
"20-07-2019","Lakshadweep","PVT SECTOR","Hydro","0"
"20-07-2019","Lakshadweep","PVT SECTOR","RES","0.75"
"20-07-2019","Lakshadweep","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Lakshadweep","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Lakshadweep","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Lakshadweep","CENTRAL SECTOR","RES","0"
"20-07-2019","Madhya Pradesh","STATE SECTOR","Thermal","5400"
"20-07-2019","Madhya Pradesh","STATE SECTOR","Nuclear","0"
"20-07-2019","Madhya Pradesh","STATE SECTOR","Hydro","715"
"20-07-2019","Madhya Pradesh","STATE SECTOR","RES","83.96"
"20-07-2019","Madhya Pradesh","PVT SECTOR","Thermal","8870"
"20-07-2019","Madhya Pradesh","PVT SECTOR","Nuclear","0"
"20-07-2019","Madhya Pradesh","PVT SECTOR","Hydro","0"
"20-07-2019","Madhya Pradesh","PVT SECTOR","RES","4336.11"
"20-07-2019","Madhya Pradesh","CENTRAL SECTOR","Thermal","5560"
"20-07-2019","Madhya Pradesh","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Madhya Pradesh","CENTRAL SECTOR","Hydro","1520"
"20-07-2019","Madhya Pradesh","CENTRAL SECTOR","RES","300"
"20-07-2019","Maharashtra","STATE SECTOR","Thermal","10842"
"20-07-2019","Maharashtra","STATE SECTOR","Nuclear","0"
"20-07-2019","Maharashtra","STATE SECTOR","Hydro","2566"
"20-07-2019","Maharashtra","STATE SECTOR","RES","388.1251"
"20-07-2019","Maharashtra","PVT SECTOR","Thermal","12644"
"20-07-2019","Maharashtra","PVT SECTOR","Nuclear","0"
"20-07-2019","Maharashtra","PVT SECTOR","Hydro","481"
"20-07-2019","Maharashtra","PVT SECTOR","RES","8814.715"
"20-07-2019","Maharashtra","CENTRAL SECTOR","Thermal","5607.08"
"20-07-2019","Maharashtra","CENTRAL SECTOR","Nuclear","1400"
"20-07-2019","Maharashtra","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Maharashtra","CENTRAL SECTOR","RES","123"
"20-07-2019","Manipur","STATE SECTOR","Thermal","36"
"20-07-2019","Manipur","STATE SECTOR","Nuclear","0"
"20-07-2019","Manipur","STATE SECTOR","Hydro","0"
"20-07-2019","Manipur","STATE SECTOR","RES","5.45"
"20-07-2019","Manipur","PVT SECTOR","Thermal","0"
"20-07-2019","Manipur","PVT SECTOR","Nuclear","0"
"20-07-2019","Manipur","PVT SECTOR","Hydro","0"
"20-07-2019","Manipur","PVT SECTOR","RES","3.64"
"20-07-2019","Manipur","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Manipur","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Manipur","CENTRAL SECTOR","Hydro","105"
"20-07-2019","Manipur","CENTRAL SECTOR","RES","0"
"20-07-2019","Meghalaya","STATE SECTOR","Thermal","0"
"20-07-2019","Meghalaya","STATE SECTOR","Nuclear","0"
"20-07-2019","Meghalaya","STATE SECTOR","Hydro","322"
"20-07-2019","Meghalaya","STATE SECTOR","RES","32.53"
"20-07-2019","Meghalaya","PVT SECTOR","Thermal","0"
"20-07-2019","Meghalaya","PVT SECTOR","Nuclear","0"
"20-07-2019","Meghalaya","PVT SECTOR","Hydro","0"
"20-07-2019","Meghalaya","PVT SECTOR","RES","0.12"
"20-07-2019","Mizoram","STATE SECTOR","Thermal","0"
"20-07-2019","Mizoram","STATE SECTOR","Nuclear","0"
"20-07-2019","Mizoram","STATE SECTOR","Hydro","0"
"20-07-2019","Mizoram","STATE SECTOR","RES","36.47"
"20-07-2019","Mizoram","PVT SECTOR","Thermal","0"
"20-07-2019","Mizoram","PVT SECTOR","Nuclear","0"
"20-07-2019","Mizoram","PVT SECTOR","Hydro","0"
"20-07-2019","Mizoram","PVT SECTOR","RES","0.66"
"20-07-2019","Mizoram","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Mizoram","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Mizoram","CENTRAL SECTOR","Hydro","60"
"20-07-2019","Mizoram","CENTRAL SECTOR","RES","0"
"20-07-2019","Nagaland","STATE SECTOR","Thermal","0"
"20-07-2019","Nagaland","STATE SECTOR","Nuclear","0"
"20-07-2019","Nagaland","STATE SECTOR","Hydro","0"
"20-07-2019","Nagaland","STATE SECTOR","RES","30.67"
"20-07-2019","Nagaland","PVT SECTOR","Thermal","0"
"20-07-2019","Nagaland","PVT SECTOR","Nuclear","0"
"20-07-2019","Nagaland","PVT SECTOR","Hydro","0"
"20-07-2019","Nagaland","PVT SECTOR","RES","1"
"20-07-2019","Nagaland","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Nagaland","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Nagaland","CENTRAL SECTOR","Hydro","75"
"20-07-2019","Nagaland","CENTRAL SECTOR","RES","0"
"20-07-2019","Odisha","STATE SECTOR","Thermal","1080"
"20-07-2019","Odisha","STATE SECTOR","Nuclear","0"
"20-07-2019","Odisha","STATE SECTOR","Hydro","2142.25"
"20-07-2019","Odisha","STATE SECTOR","RES","26.3"
"20-07-2019","Odisha","PVT SECTOR","Thermal","3800"
"20-07-2019","Odisha","PVT SECTOR","Nuclear","0"
"20-07-2019","Odisha","PVT SECTOR","Hydro","0"
"20-07-2019","Odisha","PVT SECTOR","RES","475.8051"
"20-07-2019","Odisha","CENTRAL SECTOR","Thermal","3460"
"20-07-2019","Odisha","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Odisha","CENTRAL SECTOR","Hydro","0"
